nom;type;prérequis str;prérequis end;prérequis dex;prérequis int;prérequis wis;prérequis archerie;prérequis attaque;bonus str;bonus end;bonus dex;bonus int;bonus  wis;prérequis archerie;prérequis attaque;ca;puissance terre;puissance eau;puissance air;puissance feu;puissance lumière;puissance nécromancie;résistance terre;résistance eau;résistance air;résistance feu;résistance lumière;résistance nécromancie;attaque;esquive;archerie;parade;coup puissant;coup assommant;coup critique;transpercer l'armure;guérison rapide;méditation;immobilisation;profusion de mana;vol;se cacher;piller;chercher;métier;effet;remarque
Arc  droit en frêne;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en frêne d'Angelus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en frêne féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en frêne;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en frêne d'Angelus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en frêne féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en frêne;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en frêne d'Angelus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en frêne féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  en os du désert (+3);Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en orme;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en orme d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en orme féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en orme;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en orme d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en orme féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en orme;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en orme d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en orme féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  recourbé en orme;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  recourbé en orme d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  recourbé en orme féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vibrevent  (+3);Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en noyer blanc;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en noyer blanc d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  droit en noyer blanc féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en noyer blanc;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en noyer blanc d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grand  arc en noyer blanc féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  pourfendeur des centaures;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en noyer blanc;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en noyer blanc d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  courbé en noyer blanc féerique;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  recourbé en noyer blanc;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arc  recourbé en noyer blanc d'Angélus;Arcs et flèches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
