nom;type;prérequis str;prérequis end;prérequis dex;prérequis int;prérequis wis;prérequis archerie;prérequis attaque;bonus str;bonus end;bonus dex;bonus int;bonus  wis;prérequis archerie;prérequis attaque;ca;puissance terre;puissance eau;puissance air;puissance feu;puissance lumière;puissance nécromancie;résistance terre;résistance eau;résistance air;résistance feu;résistance lumière;résistance nécromancie;attaque;esquive;archerie;parade;coup puissant;coup assommant;coup critique;transpercer l'armure;guérison rapide;méditation;immobilisation;profusion de mana;vol;se cacher;piller;chercher;métier;effet;remarque
Les amulettes NMS;Amulettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amulette ténébreuse;Amulettes;;30;;49;30;;;;;;;;;;10;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;Bonus CA +10 Puissance nécro, Puissance terre et Puissance air +10 Puissance feu et Puissance eau -10 Résistance lumière -15 | Prérequis Endurance 30 Sagesse et Intelligence 49 Obtention  Coffre Abysses DI, Kranians Ténébreux (Abysses DI..) | ;
Présent des älvors;Amulettes;80;35;223;223;40;;;;;;;;;;10;;;;;;;;;;;;;50;-50;50;;10;;;;50;;5;;;;;;;Bonus CA +10 -50 Esquive +10 Coup Puissant, Coup Assommant, Se Cacher, Transpercer Armure et Guérison Rapide +50 Attaque et Archerie +5 Immobilisation | Prérequis Force 80 Endurance 35 Dextérité 223 Intelligence et Sagesse 40 Obtention  Quête du présent des Alvors | ;
Amulette attractive;Amulettes;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Chance +10 | Prérequis Sagesse et Intelligence 50 Obtention Bijoutier 14 | ;
Amulette de chance;Amulettes;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Chance +20 | Prérequis Sagesse  et Intelligence 80 Obtention Quête des livres de chance de Drake Island Bijoutier 28 | ;
Amulette de pyrolyse;Amulettes;30;;;456;20;;;;;;25;;;;5;;;;25;;;5;5;;10;;;;;;;;;;;;;;5;;;;;;Bonus CA +5 Intelligence +25 Puissance feu +10 Résistance feu +10 Profusion de mana +5 Résistance eau terre nécro air -7 Prérequis Force 30 Sagesse 20 Intelligence 456 Obtention Bijoutier 46 | ;
Amulette en plumes;Amulettes;;30;;146;110;;;;;;;;;;5;;;;;;5;;;;;;;;2;;;;;;;;;;;;;;;;Bonus CA +5 Puissance nécro +5 Puissance Air, Terre, Feu, Eau +5 Esquive +15+3/2 esquive Prérequis Endurance 30 Sagesse 110 Intelligence 146 Obtention  Drop Squelette Équestre (cave aveugle RD) | ;
Ancienne amulette elfe;Amulettes;190;;850;;;;;;;30;;;;;15;;;;;;;;;;;;;;10;;;;20;;30;;;5;;;;;;;Bonus CA +15 Dextérité +30 Coup Assommant +20 Immobilisation +5 (au lieu de +10 maj du 4/4/18) Transpercer Armure +30 Esquive +10% esquive boostée Prérequis Force 190 Dextérité 850 Obtention  Bijoutier 64 | ;
Amulette de fortune;Amulettes;;;;110;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus +30 Chance Prérequis Sagesse 102 Intelligence 110 Obtention  Bijoutier 82 | ;
Collier en dents d'ours;Amulettes;850;;90;55;;;;35;;;;;;;15;;;;;;;;;;;;;;15;;;10;20;50;30;;;10;;;;;;;Bonus CA +15 Force +35 +15+niveau en esquive Transpercer Armure  +30 Coup Critique +50 Immobilisation +10 Coup Puissant et Coup Assommant +20 Prérequis Force 850 Dextérité 90 Intelligence 55 Obtention Bijoutier 84 | ;
Sautoir éclatant;Amulettes;;;;10;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;Bonus CA +3 Vol et chercher +10 Sort aléatoire en cas d'attaque (rare) : multiplie l'or gagné par deux pendant 5 minutes. (Si groupé, les PJ suivants dans la liste du groupe en bénéficieraient aussi ?) | Prérequis Force, Endurance, Dextérité, Sagesse,et Intelligence 10 Obtention Bijoutier 96 | ;
Echarpe;Amulettes;;30;;132;123;;;;;;;;;;15;;;;;;;;;15;15;;;;;;;;;;;;;;;;;;;;Bonus CA +15 Résistances feu air terre eau +12 (a ete modifier juste les 4 de base maintenant) Prérequis Endurance 30 Sagesse 123 Intelligence 132 Obtention Couturier 101 | ;
Joyau du brave;Amulettes;170;140;83;60;83;;500;10;10;10;;20;;;15;;;;;;;;;;;;;50;;50;25;15;20;;10;15;;10;;;;;;;Bonus CA +15 Attaque et Archerie +50 Force et dextérité +10 Endurance et Sagesse +20 Immobilisation +10 Transpercer Armure et Coup Puissant +15 Guérison rapide +15 Coup Assommant +20 Parade +25 Prérequis Force 170 Endurance 140 Dextérité 83 Sagesse et Intelligence 60 Attaque +500 Obtention Bijoutier 76 | ;
Col de satin noir;Amulettes;;18;;56;24;;;;;;10;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus CA +1 Intelligence +10 Prérequis Endurance 18 Sagesse 24 Intelligence 56 Encombrement 1 Obtention Couturier 14 | ;
Protège-nuque en orme;Amulettes;;32;;24;32;;;;;;;;;;2;;;;;;;;;;;;;25;;25;;;;5;;;;;;;;;;;Bonus CA +2 Coup Critique +5 Attaque +25 Archerie +25 Prérequis Endurance 32 Sagesse et Intelligence 24 Encombrement 2 Obtention Ebéniste 13 | ;
Amulette du maudit;Amulettes;390;100;93;513;;;;;;;;;;;12;;;;;;12;6;6;6;6;6;6;;;;;15;15;;15;;;;;;;;;;Bonus CA +12 Puissance nécro et feu +8 Transpercer Armure +15 Coup Puissant  et Coup Assommant +15 Toutes résistances +6 Prérequis Endurance 100 Force +390 Intelligence 513 Dextérité 93 Encombrement 3 Obtention Drop des Chevaliers de la Damnation | ;
Amulette du damné;Amulettes;485;100;98;420;;;;;;;;;;;15;;;;;;15;8;8;8;8;8;8;;;;15;20;15;;8;;;;;;;;;;Bonus CA +15 Puissance nécro et  eau +8 Transpercer Armure et Coup Puissant +20 Parade +15 et Coup Assommant +15 Toutes résistances +8 Prérequis Endurance 100 Force 485 Intelligence 420 Dextérité 98 Encombrement 4 Obtention Bijoutier 80 | ;
Talisman du croisé;Amulettes;420;120;89;100;401;;;40;;;;40;;;13;;;;;15;;;;;;;;;;;25;15;25;;10;;;;20;;;;;;Bonus CA +13 Puissance lumière +15 Coup Assommant +25 Coup Puissant +15 Transpercer Armure +10 Parade +25 Profusion de mana +20 Sagesse et Force +40 Prérequis Endurance 120 Sagesse 401 Intelligence 100 Dextérité 89 Force 420 Encombrement 2 Obtention Bijoutier 90 | ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★           Haut de page     N'hésitez pas à signaler les erreurs ou bizarreries que vous pourriez rencontrer sur cette page. Merci. | ;
Les anneaux NMS;Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anneau d'Aquilon;Anneaux;132;60;545;28;46;;;;;;;;;;5;;;;;;;;;;;;;;;;;;15;30;20;;;;;;;;;;Bonus CA +5 Coup Assommant +15 Transpercer Armure +20 Coup Critique +30 Prérequis Force 132 Endurance 60 Dextérité 545 Sagesse 46 Intelligence 28 Encombrement 2 Obtention Bijoutier lvl 58 | ;
Anneau d'Obéron;Anneaux;40;;30;423;423;;;;;;;;;;5;;;12;;;12;;;;;;;;;;;;;;;;;;;;;;;;Bonus CA +5 Puissance air +12 Puissance nécro +5 Puissance lumière -5 Résistance feu -7 Résistance air +5 Prérequis Force 40 Dextérité 30 Sagesse 423 Intelligence 423 Encombrement 2 Obtention Bijoutier lvl 50 | ;
Bague ténébreuse;Anneaux;;;;49;49;;;;;;10;-10;;;5;;;;;;5;;;;;-15;;;;;;;;;;;;;;;;;;;Bonus CA +5 Puissance nécro +10 Puissance lumière -10 Résistance lumière -15 Sagesse -10 Intelligence +10 Prérequis Sagesse 49 Intelligence 49 Encombrement 1 Obtention Coffre Abysses (DI), Kraanian ténébreux (DI) | ;
Anneau de liberté;Anneaux;154;60;607;31;53;;;;;;;;;;10;;;;;;;;;;;;;;;;;15;15;;20;;;;;;;;;;Bonus CA +10 Transpercer Armure +20 Coup Puissant +15 Coup Assommant +15 Prérequis Force 154 Endurance 60 Dextérité 607 Sagesse 53 Intelligence 31 Encombrement 2 Obtention Bijoutier lvl 62 | ;
Anneau de résistance;Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Boosts CA +5 Résistance nécro +2 Résistance lumière +2 Résistance air +2 Résistance terre +2 Résistance feu +2 Résistance eau +2 Prérequis aucun Obtention Quête du colis de Franc ""le débutant"" sur Arakas | ";
Anneau du pilleur;Anneaux;50;32;;62;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boosts CA +2 Chance +3 Compétence piller +15 +2 CA Prérequis Force 50 agilité 65 Endurance 32 Sagesse 63 Intelligence 62 Encombrement 1 Obtention Pilleur de tombe, sous-sol cimetière LH | ;
Anneau de force;Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Boosts CA +1 Attaque +5% Force +15 | Obtention Quête du colis de Franc ""le débutant"" sur Arakas | ";
Anneau d'endurance;Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Boosts CA +1 Endurance +15 Guérison rapide +5% | Obtention Quête du colis de Franc ""le débutant"" sur Arakas | ";
Anneau de dextérité;Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Boosts CA +1 Archerie +5% Dextérité +15 Obtention Quête du colis de Franc ""le débutant"" sur Arakas | ";
Anneau de sagesse;Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Boosts  CA +1 Sagesse +15 Méditation +5% Obtention Quête du colis de Franc ""le débutant"" sur Arakas | ";
Anneau du froid;Anneaux;;;;42;15;;;;;;5;;;;;;5;;5;;;;5;;;;;;;;;;;;;;;;;;;;;;Bonus Puissance eau +5 Résistance eau +5 Intelligence +5 Puissance feu -5 Prérequis Sagesse 15 Intelligence 42 Encombrement 2 | Obtention Quête du forgeron de Niève | ;
Anneau du cimmérien;Anneaux;238;60;85;30;30;;;15;;10;;;;;;;;;;;;;;;;;;130;-30;130;;10;10;;10;5;;5;;;;;;;Bonus Attaque +130 Archerie +130 Esquive -30 Coup Assommant +10 Coup Puissant +10 Transpercer Armure +10 Guérison rapide +5 Force +15 Dextérité +10 Immobilisation +5 Rage de berserker (augmente parfois la force lors d'un combat) Prérequis Force 238 Endurance 60 Dextérité 85 Sagesse 30 Intelligence 30 | Obtention Draconigus Majeur Invoqué (désert RD), | ;
Anneau béni des hauts althéens;Anneaux;;;;100;75;;;15;15;15;15;15;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus CA +2 Force +15 Endurance +15 Dextérité +15 Sagesse +15 Intelligence +15 Lumière permanente Prérequis Sagesse 75 Intelligence 100 Encombrement 1 Obtention Quête des livres de chance Bijoutier lvl 20 | ;
Anneau étoilé;Anneaux;;;;90;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boosts +5 CA +20 Sagesse +20 Intelligence +5 Puissance Eau / Feu / Terre / Air / Nécro +5 Résistance Eau / Feu / Terre / Air / Nécro | Prérequis Intelligence 90 Sagesse 115 Encombrement 1 | Obtention Quête des items étoilé de l'île Lune | ;
Anneau de cerfeuil;Anneaux;;;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boosts Chance +5 | Prérequis Sagesse 20 Intelligence 20 Obtention Démonicons (AR), salon de jeu (SH) | ;
Chevalière des héros;Anneaux;650;200;85;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;20;20;;20;;;;;;;;;;Bonus +5 CA +20 Transpercer Armure +20 Coup Puissant +20 Coup Assommant On ne peut pas porter l'anneau du sans peur avec. | Prérequis Force 650 Endurance 200 Dextérité 85 Attaque 500 Encombrement 2 | Obtention Bijoutier lvl 36 | ;
Anneau des séismes;Anneaux;40;60;30;101;623;;;;;;;;;;;;;;;-5;;;;;;;;;5;;;;;;;;;;;;;;;;Bonus +5 CA +5% Esquive -5 Puissance lumière +12 Puissance terre +5 Résistance terre -7 Résistance air | Prérequis Force 40 Endurance 60 Dextérité 30 Sagesse 623 Intelligence 101 Encombrement 2 | Obtention Bijoutier  lvl 54 | ;
Anneau de l'endurant;Anneaux;299;300;;;351;;;30;30;;;30;;;;;;;;;;;;;;;;;-25;;20;5;10;;10;15;;15;;;;;;;Bonus +36 CA -25 Esquive +15 Guérison rapide +10 Transpercer l'armure +20 Parade +5 Coup puissant +10 Coup assommant +30 Sagesse +30 Force +30 Endurance +15 Immobilisation | Prérequis Force 299 Endurance 300 Sagesse 351 Encombrement 3 Obtention Bijoutier lvl 72 | ;
Anneau climatérique;Anneaux;;;;185;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;20;;;;;;Bonus +5 CA +5 Puissance air +5 Puissance eau +5 Puissance feu +5 Puissance terre +5 Puissance lumière +5 Puissance nécromancie +10% Coup Critique +20 Profusion de mana | Prérequis Intelligence 185 Sagesse 120 Obtention Rejeton du Cerberus | ;
Anneau de feu;Anneaux;;;;125;60;;;;;;20;;;;;;;;20;-15;;;;;;;;;;;;;;;;;;;;;;;;;Bonus  +5 CA +5 Puissance feu +20 Intelligence -15 Puissance lumière -15 Résistance lumière -15 Puissance eau -15 Résistance eau | Prérequis Intelligence 125 Sagesse 60 Encombrement 1 Obtention Coffres DI, Draconigus Invoqué Majeur (désert RD) | ;
Anneau du chasseur;Anneaux;10;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Se déclenche aléatoirement. Double alors l'xp obtenue durant 3 minutes (hors quêtes et coffres) | Prérequis Intelligence 10 Sagesse 10 Endurance 10 Dextérité 10 Force 10 Encombrement 2 Obtention Bijoutier lvl 102 | ;
Anneau incendiaire;Anneaux;40;60;30;574;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus +5 CA +12 Puissance feu +5 Résistance feu +5 Puissance nécro -5 Puissance eau -7 Résistance eau | Prérequis Intelligence 574 Sagesse 20 Endurance 60 Dextérité 30 Force 40 Encombrement 2 Obtention Bijoutier lvl 78 | ;
Anneau d'hibernation;Anneaux;40;60;30;538;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus +5 CA +12 Puissance eau +5 Résistance eau +5 Puissance nécro -5 Puissance feu -7 Résistance feu | Prérequis Intelligence 538 Sagesse 18 Endurance 60 Dextérité 30 Force 40 Encombrement 2 Obtention Bijoutier lvl 44 | ;
Anneau de combat Centaure;Anneaux;445;100;77;;328;;;20;;15;;30;;;;;;;;;;;;;;;;;;;5;5;5;;15;10;;10;;;;;;;Bonus +12 CA +5 Parade +5 Coup Puissant +5 Coup Assommant +15 Transpercer Armure +10 Immobilisation +10 Guérison rapide +20 Force +15 Dextérité +30 Sagesse | Prérequis Sagesse 338 (anc 328 4/4/18) Endurance 100 Dextérité 77 Force 420 (anc 445) Encombrement 2 Obtention Bijoutier lvl 66 | ;
Anneau en ivoire d'Agamaoth;Anneaux;190;40;850;36;59;;;30;;30;;;;;;;;;;;;;;;;;;;;;;20;20;30;20;;;10;;;;;;;Bonus +12 CA +20 Coup Assommant +30 Coup Critique +20 Coup Puissant +10 Immobilisation +20 Transpercer Armure +30 Force +30 Dextérité | Prérequis Dextérité 850 Intelligence 36 Sagesse 59 Endurance 40 Force 190 Encombrement 3 Obtention Bijoutier lvl 86 | ;
Bague comminatoire;Anneaux;168;;92;75;70;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;;;;;;;;Bonus +5 CA +10 Transpercer Armure +10 Coup Puissant | Prérequis Intelligence 75 Sagesse 70 Dextérité 92 Force 168 Encombrement 2 Obtention Drake Dixtor Supérieur (cave village Skraugs rouges SH) | ;
Chevalière de Stagnation;Anneaux;136;;95;85;80;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;20;;;;;;;Bonus +5 CA +20 Immobilisation +10 Coup Puissant | Prérequis Intelligence 85 Sagesse 80 Dextérité 95 Force 136 Encombrement 2 Obtention Les deux coffres ivoire du -4 | ;
Anneau climatérique;Anneaux;;;;185;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus +5 CA +5 puissance Air +5 puissance Feu +5 puissance Eau +5 puissance Terre +5 puissance Lumière +5 puissance Nécro | Prérequis Intelligence 185 Sagesse 120 Encombrement 2 Obtention Rejeton du Cerberus (Académie -4) | ;
Cercle d'obsidienne;Anneaux;400;100;100;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Sert plus ancient Ante | Prérequis Intelligence 500 Endurance 100 Dextérité 100 Force 400 Encombrement 2 Obtention Chevalier de la damnation, Saalyel | ;
Sceau du Seigneur de Guerre;Anneaux;510;100;95;400;;;;25;;;25;;;;;;20;;;;;;;;;;;;;;;20;10;;20;;;;;;;;;;Bonus +10 CA +3 Puissance Nécro +3 puissance Eau +20 Transpercer Armure +20 Coup Puissant +10 Coup Assommant +25 Intelligence +25 Force | Prérequis Intelligence 400 Endurance 100 Dextérité 95 Force 510 Encombrement 2 Obtention Bijoutier lvl 86 | ;
Anneau du sans peur;Anneaux;909;100;95;114;62;;500;;;;;;;;;;;;;;;10;10;;10;;;;50;;;16;16;;16;;;;;;;;;;Bonus +5 CA +50 Esquive +5 Immob +16 Transpercer Armure +16 Coup Puissant +16 Coup Assommant +10 Résist terre eau feu air N'offre aucun bonus si la chevaliere des héros est équippée | Prérequis Force 1009 (anc 909) Intelligence 114 Sagesse 62 Endurance 60 (anc 100) Dextérité 95 Attaque 500 Encombrement 2 Obtention Bijoutier lvl 96 | ;
Chevalière du croisé;Anneaux;400;100;93;110;417;;;25;;;;25;;;;;;;;25;;;;;;;;;-10;;20;12;20;;8;;;;12;;;;;;Bonus +9 CA -10 Esquive +20 Coup Assommant +12 Coup Puissant +8 Transpercer Armure +20 Parade +12 Profusion de mana +12 Puissance Lumière +25 Sagesse +25 Force | Prérequis Sagesse 417 Intelligence 110 Endurance 100 Dextérité 93 Force 400 Encombrement 1 Obtention Bijoutier lvl 92 | ;
Bague en argent ornée de trèfles;Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Chance : +13 | Prérequis Aucun Obtention Quête des livres de chance (DI), donjon les bijoux d'Eléonore... | ;
Anneau de l'apprenti bijoutier, armurier... (existe pour chaque métier);Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Bonus Augmente le taux de réussite des recettes du métier correspondant de 2% Prérequis Encombrement 1 | Obtention Tous : Donjon des Académiciens ""la tour"" (pour 200+) Forgeron : Cadeau de la princesse Delilah (RD) | ";
Anneau du bijoutier, armurier... (existe pour chaque métier);Anneaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus Augmente le taux de réussite des recettes du métier correspondant de 4% non cumulable avec l'anneau de l'apprenti (n'équipez donc jamais l'anneau de l'apprenti en premier) Prérequis Encombrement 1 | Obtention Donjon Les bijoux d'Eléonore | Attention !! : le taux maximum de réussite d'un craft est toujours limité à 99%, quel que soit l'équipement | ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★  ★           Haut de page     N'hésitez pas à signal;
Les bracelets NMS;Bracelets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bracelet d'or (T4C et bijoutier NMS);Bracelets;;;;21;24;;;2;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus CA +1 Dextérité et Force +2 Prérequis Sagesse 24 Intelligence 21 Encombrement 1 Obtention Métiers : Bijoutier 4 | ;
Bracelet en pépins de citrouilles;Bracelets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus/malus Chance +5 Résistances terre, air, eau, feu, nécro -3 Prérequis Encombrement 2 Obtention Halloween : Le repaire des sorcières | ;
Bracelet en peau de troll;Bracelets;;68;;39;37;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;5;30;;;;;;;;Bonus CA +5 Guérison rapide et Méditation +30 Prérequis Sagesse 37 Intelligence 39 Endurance 68 Encombrement 1 Obtention Métiers : Couturier 17 | ;
Canon de maille de fureur Berserker;Bracelets;238;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bonus CA +2 Fureur Berserker ? Prérequis Force 238 Encombrement 2 | ;
Bracelet des sables;Bracelets;360;54;95;63;63;;800;16;;;16;10;;;5;10;;;;;;;;;;;;100;-10;;;;;;;;;15;;;;;;;Bonus/malus CA +5 Attaque 100 + (Niveau*3) Esquive -10 Immobilisation +15 Force +16 Intelligence et Sagesse  +10 Puissance terre +10 Puissance feu -10 Résistance nécro -20 Résistance air +20 Résistance terre +10 Résistance feu -10 Résistance eau -5 Prérequis Force 360 Endurance 54 Dextérité 95 Sagesse 63 Intelligence 63 Attaque 800 Obtention Beholder, Coffres dans la cave des Trolls Erudits de Drake Island, Gardiens du désert. | ;
